,user,session,feature,param,acc
60,10,20131211,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.8309248685836792
61,10,20131211,de_LDS_lr10_0.001,{'lr10:0.001'},0.8302023410797119
64,10,20131211,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.8273121118545532
78,10,20131211,de_LDS_lr18_0.07,{'lr18:0.07'},0.7955202460289001
84,10,20131211,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.7875722646713257
85,10,20131211,de_LDS_lr14_0.009,{'lr14:0.009'},0.7875722646713257
88,10,20131211,de_LDS_lr17_0.05,{'lr17:0.05'},0.7839595079421997
90,10,20131211,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.7825144529342651
103,10,20131211,de_LDS_lr16_0.03,{'lr16:0.03'},0.740606963634491
105,10,20131130,de_LDS_lr11_0.003,{'lr11:0.003'},0.7377167344093323
111,10,20131211,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.7283236980438232
112,10,20131204,de_LDS_lr10_0.001,{'lr10:0.001'},0.7254335284233093
117,10,20131130,de_LDS_lr19_0.09,{'lr19:0.09'},0.7203757166862488
119,10,20131204,de_LDS_lr15_0.01,{'lr15:0.01'},0.7196531891822815
121,10,20131130,de_LDS_lr15_0.01,{'lr15:0.01'},0.714595377445221
124,10,20131130,de_LDS_lr13_0.007,{'lr13:0.007'},0.7037572264671326
126,10,20131204,de_LDS_lr13_0.007,{'lr13:0.007'},0.7023121118545532
130,10,20131130,de_LDS_lr10_0.001,{'lr10:0.001'},0.6979768872261047
133,10,20131204,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6755780577659607
136,10,20131130,de_LDS_lr8_0.0007,{'lr8:0.0007'},0.6654624342918396
138,10,20131130,de_LDS_lr12_0.005,{'lr12:0.005'},0.6589595079421997
139,10,20131204,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.6567919254302979
141,10,20131130,de_LDS_lr16_0.03,{'lr16:0.03'},0.6553468108177185
142,10,20131204,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.6531791687011719
143,10,20131130,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.647398829460144
145,10,20131130,de_LDS_lr7_0.0005,{'lr7:0.0005'},0.647398829460144
146,10,20131130,de_LDS_lr9_0.0009,{'lr9:0.0009'},0.6466763019561768
147,10,20131204,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.6466763019561768
148,10,20131130,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.6459537744522095
152,10,20131204,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.6416184902191162
153,10,20131130,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.6401734352111816
154,10,20131204,de_LDS_lr0_1e-05,{'lr0:1e-05'},0.638005793094635
155,10,20131130,de_LDS_lr14_0.009,{'lr14:0.009'},0.6351156234741211
156,10,20131130,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.634393036365509
158,10,20131130,de_LDS_lr18_0.07,{'lr18:0.07'},0.6329479813575745
160,10,20131204,de_LDS_lr5_0.0001,{'lr5:0.0001'},0.6307803392410278
162,10,20131130,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6286126971244812
171,10,20131130,de_LDS_lr6_0.0003,{'lr6:0.0003'},0.6199421882629395
173,10,20131130,de_LDS_lr1_3e-05,{'lr1:3e-05'},0.6184971332550049
175,10,20131204,de_LDS_lr2_5e-05,{'lr2:5e-05'},0.615606963634491
176,10,20131204,de_LDS_lr4_9e-05,{'lr4:9e-05'},0.611994206905365
177,10,20131204,de_LDS_lr3_7e-05,{'lr3:7e-05'},0.6105491518974304
183,10,20131204,de_LDS_lr11_0.003,{'lr11:0.003'},0.5903179049491882
185,10,20131204,de_LDS_lr18_0.07,{'lr18:0.07'},0.5816473960876465
186,10,20131204,de_LDS_lr14_0.009,{'lr14:0.009'},0.5780346989631653
188,10,20131204,de_LDS_lr19_0.09,{'lr19:0.09'},0.5635837912559509
190,10,20131204,de_LDS_lr12_0.005,{'lr12:0.005'},0.5556358098983765
192,10,20131130,de_LDS_lr17_0.05,{'lr17:0.05'},0.5469653010368347
197,10,20131204,de_LDS_lr16_0.03,{'lr16:0.03'},0.49132949113845825
198,10,20131204,de_LDS_lr17_0.05,{'lr17:0.05'},0.4725433588027954
